T,Date,SPX_close,SPLRCT_close,SPLRCL_close,SPLRCM_close,SPLRCREC_close,SPLRCS_close,SPSY_close,SPNY_close,SPXHC_close,SPLRCD_close,SPLRCI_close,SPLRCU_close,VIX_close,SPX_R,SPX_log_r,SPLRCT_R,SPLRCT_log_r,SPLRCL_R,SPLRCL_log_r,SPLRCM_R,SPLRCM_log_r,SPLRCREC_R,SPLRCREC_log_r,SPLRCS_R,SPLRCS_log_r,SPSY_R,SPSY_log_r,SPNY_R,SPNY_log_r,SPXHC_R,SPXHC_log_r,SPLRCD_R,SPLRCD_log_r,SPLRCI_R,SPLRCI_log_r,SPLRCU_R,SPLRCU_log_r,SPX_vol20,SPX_vol60,SPX_vol20_div_vol60,SPX_vol20_normalized,SPX_vol20_div_vol60_normalized,VIX_close_normalized
22,2010-02-04,1063.1,338.1,102.36,180.87,86.41,268.74,185.48,408.83,358.41,227.68,239.72,147.15,26.08,-0.031167410917707142,-0.013751261049389526,-0.02872737719046251,-0.012658852518519387,-0.023748211731044303,-0.010438157586214795,-0.03838587910043064,-0.016999167862410253,-0.04127371574392543,-0.018305365931212306,-0.023296383790659528,-0.01023720431884381,-0.04149656348509122,-0.018406325710502425,-0.03897416609858734,-0.017264937648802298,-0.026430162438202752,-0.011632889567831067,-0.028544608951657627,-0.012577137283810175,-0.030611832261716987,-0.013502285538917875,-0.0263993648273123,-0.011619151446126864,0.012310361941518331,0.011555118781061358,1.0653600516590798,1.5152127616025788,3.5490593540472952,1.6156493028444965
23,2010-02-05,1066.2,341.8,102.87,184.01,88.34,268.52,187.74,408.35,357.61,226.61,238.37,146.75,26.11,0.0029160003762582418,0.0012645600386108435,0.010943507837917742,0.004726887618948995,0.004982415005861714,0.0021584626194587784,0.017360535191021098,0.007474886744132815,0.022335377849785985,0.009593389787106384,-0.0008186351120042691,-0.00035567431544871483,0.012184602113435515,0.005259726306070167,-0.0011740821368293945,-0.0005101969585357871,-0.0022320805781089015,-0.0009704637582587547,-0.004699578355586758,-0.0020458119480759682,-0.005631570165192701,-0.0024526725464042707,-0.002718314644920188,-0.0011821565159777004,0.012277506529091724,0.011359132768237348,1.0808489327127466,1.408101257039074,3.2041686982253883,1.5081502468345422
24,2010-02-08,1056.7,340.0,102.08,181.19,86.11,267.64,183.6,404.65,356.23,225.69,235.72,145.12,26.51,-0.008910148189833052,-0.0038869707655571507,-0.0052662375658280025,-0.0022931413424629203,-0.007679595606104853,-0.003348078457519544,-0.015325254062279187,-0.006707200336377185,-0.02524337785827489,-0.011103805691307301,-0.0032772232980783386,-0.001425617305489544,-0.022051773729626155,-0.009684136664613357,-0.009060854658993622,-0.003953015195950229,-0.0038589524901428804,-0.0016791637668002184,-0.004059838489034093,-0.0017667542532831463,-0.011117170784914233,-0.004855164054931449,-0.01110732538330491,-0.004850840203632051,0.012245694053836582,0.01119439531526455,1.0939129545602604,1.3197613822463674,2.9373024395060683,1.518553028063129
25,2010-02-09,1070.5,343.5,103.41,185.73,86.21,271.35,185.62,412.73,358.46,228.87,239.79,146.51,26.0,0.013059524936121846,0.005634964207069108,0.010294117647058823,0.004447824353314096,0.013028996865203745,0.005621876750522946,0.025056570450907843,0.010747833739796665,0.0011613053071651877,0.0005040558619489235,0.013861904050216846,0.005978804708101764,0.01100217864923753,0.004752091470647362,0.01996787347090088,0.008586492748151618,0.006260000561434919,0.00271020956679693,0.014090123620895949,0.006076553076183718,0.017266248090955342,0.007434635266427917,0.009578280044101339,0.0041399986369232275,0.012771822244876947,0.011396653297959913,1.1206642784477088,1.3712210925744872,3.0177845533039873,1.2922769451415883
26,2010-02-10,1068.1,342.5,102.96,184.36,86.25,270.88,187.15,410.57,356.5,227.83,239.15,145.68,25.4,-0.002241943017281729,-0.0009747565642272798,-0.002911208151382824,-0.0012661655671248448,-0.00435161009573545,-0.0018940042312798077,-0.007376298928552071,-0.0032153592800845715,0.0004639832966013949,0.000201458652297776,-0.0017320803390456136,-0.000752885150635,0.008242646266566109,0.003565063114569756,-0.005233445593971906,-0.0022788248105090566,-0.005467834625899625,-0.00238116626646412,-0.0045440643159872065,-0.0019779594565891676,-0.002669002043454633,-0.0011606824815565448,-0.005665142311104936,-0.0024673355660796564,0.012693506899170386,0.011175363794365912,1.1358473095587143,1.2828094951675861,2.809920838404374,1.0692150234245308
27,2010-02-11,1078.5,346.3,103.44,187.25,86.95,273.26,187.56,417.06,358.87,230.32,242.68,146.45,23.96,0.009736916019099422,0.0042082343723339865,0.011094890510948939,0.004791915721016458,0.004662004662004701,0.0020199779760073813,0.015675851594705935,0.006755126919021322,0.00811594202898554,0.003510482593419566,0.008786178381571159,0.0037991232342001946,0.0021907560780122714,0.0009503926163710651,0.015807292300947486,0.006811326227068138,0.006647966339410952,0.002877620498045973,0.010929201597682398,0.004720741711580936,0.014760610495504917,0.0063636010640276885,0.005285557386051495,0.002289443230753819,0.01276190529756546,0.011193109443468909,1.1401572871256014,1.239055922226356,2.498025114623012,0.6282066151987566
28,2010-02-12,1075.5,346.5,102.9,187.1,87.39,272.61,187.02,414.74,357.94,230.29,240.95,145.48,22.73,-0.0027816411682892906,-0.0012097347150824777,0.0005775339301183616,0.0002507473983647186,-0.005220417633410596,-0.0022731371099046775,-0.0008010680907877473,-0.0003480388714941662,0.005060379528464608,0.002192153008598412,-0.0023786869647953496,-0.0010342812268795427,-0.002879078694817616,-0.0012521714063282435,-0.005562748765165667,-0.0024226155583687006,-0.0025914676623847266,-0.0011269209268652887,-0.0001302535602639855,-5.6572086908749626e-05,-0.007128729190703882,-0.0031070556347833856,-0.006623420962785926,-0.002886083634943148,0.012699219831311614,0.010993256253160551,1.1551827355666888,1.1721474093002962,2.4497821241316116,0.2563795677718795
29,2010-02-16,1094.9,352.0,103.92,191.72,90.17,275.89,191.63,425.77,361.08,234.07,246.32,148.18,22.25,0.018038121803812264,0.007764041044992942,0.015873015873015872,0.006839424530305443,0.00991253644314865,0.004283763302538546,0.02469267771245326,0.010593632819740335,0.031811420070946346,0.013600330327702394,0.012031840358020515,0.005194176411151235,0.024649770078066437,0.010575446938831511,0.02659497516516365,0.01139913420549341,0.00877241995865225,0.003793200028640365,0.016414086586477923,0.007070675351553816,0.02228678148993569,0.009572745257914425,0.018559252130877214,0.007986298063717336,0.013405399519441235,0.01138936947133316,1.177009803148663,1.2832786858904748,2.4954572720977533,0.10883649958620117
30,2010-02-17,1099.5,353.3,104.25,191.81,90.9,277.91,192.36,424.3,364.0,235.98,247.86,147.8,21.72,0.004201296922093259,0.0018207779283349226,0.0036931818181818506,0.0016009739567144619,0.003175519630484972,0.0013769255808236723,0.00046943459211351666,0.0002038250154550617,0.00809581900853947,0.003501813546935285,0.007321758671934607,0.0031682150380208398,0.003809424411626667,0.001651268802454635,-0.0034525682880427707,-0.0015020257737904392,0.008086850559432857,0.003497949861350654,0.008159952151065906,0.0035294416587196404,0.006252029879831198,0.002706769465088098,-0.0025644486435416076,-0.0011151563875846377,0.013065058270094066,0.011237987430440487,1.1625798970645373,1.1548938988094501,2.0425158313813734,-0.054016464079629234
31,2010-02-18,1106.8,356.3,104.09,194.05,92.27,279.87,193.44,426.43,365.67,237.44,250.33,148.66,20.63,0.00663938153706226,0.002873916772105154,0.008491367110104727,0.0036721849161701118,-0.001534772182254164,-0.0006670551095840731,0.011678223241749695,0.0050424017408283546,0.015071507150714964,0.0064966373892310966,0.007052642941959553,0.003052173574107063,0.005614472863381077,0.0024315151149269993,0.005020032995522026,0.0021747186049656192,0.004587912087912132,0.0019879481166805483,0.006186964997033681,0.002678686805542697,0.009965302993625429,0.004306454003192753,0.005818673883626422,0.0025196944081235934,0.013048028068347558,0.011135424368418403,1.1717584922361435,1.1097991150509325,2.009961889365183,-0.3894308589039453
