"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/1997","125.67","125.67","125.67","125.67","","-1.01%"
"07/16/1997","126.95","126.95","126.95","126.95","","0.02%"
"07/15/1997","126.92","126.92","126.92","126.92","","0.21%"
"07/14/1997","126.65","126.65","126.65","126.65","","-0.11%"
"07/11/1997","126.79","126.79","126.79","126.79","","-0.03%"
"07/10/1997","126.83","126.83","126.83","126.83","","0.82%"
"07/09/1997","125.80","125.80","125.80","125.80","","-0.79%"
"07/08/1997","126.80","126.80","126.80","126.80","","0.36%"
"07/07/1997","126.34","126.34","126.34","126.34","","-0.90%"
"07/03/1997","127.49","127.49","127.49","127.49","","1.00%"
"07/02/1997","126.23","126.23","126.23","126.23","","0.94%"
"07/01/1997","125.05","125.05","125.05","125.05","","0.14%"
"06/30/1997","124.87","124.87","124.87","124.87","","0.54%"
"06/27/1997","124.20","124.20","124.20","124.20","","0.77%"
"06/26/1997","123.25","123.25","123.25","123.25","","0.00%"
"06/25/1997","123.25","123.25","123.25","123.25","","-0.52%"
"06/24/1997","123.89","123.89","123.89","123.89","","0.53%"
"06/23/1997","123.24","123.24","123.24","123.24","","-1.00%"
"06/20/1997","124.49","124.49","124.49","124.49","","-0.38%"
"06/19/1997","124.96","124.96","124.96","124.96","","0.79%"
"06/18/1997","123.98","123.98","123.98","123.98","","-0.12%"
"06/17/1997","124.13","124.13","124.13","124.13","","0.32%"
"06/16/1997","123.74","123.74","123.74","123.74","","-0.25%"
"06/13/1997","124.05","124.05","124.05","124.05","","0.49%"
"06/12/1997","123.44","123.44","123.44","123.44","","1.35%"
"06/11/1997","121.79","121.79","121.79","121.79","","0.59%"
"06/10/1997","121.07","121.07","121.07","121.07","","-0.22%"
"06/09/1997","121.34","121.34","121.34","121.34","","-0.23%"
"06/06/1997","121.62","121.62","121.62","121.62","","0.51%"
"06/05/1997","121.00","121.00","121.00","121.00","","0.22%"
"06/04/1997","120.73","120.73","120.73","120.73","","-0.40%"
"06/03/1997","121.21","121.21","121.21","121.21","","0.10%"
"06/02/1997","121.09","121.09","121.09","121.09","","-0.50%"
"05/30/1997","121.70","121.70","121.70","121.70","","0.75%"
"05/29/1997","120.79","120.79","120.79","120.79","","0.05%"
"05/28/1997","120.73","120.73","120.73","120.73","","0.16%"
"05/27/1997","120.54","120.54","120.54","120.54","","-0.14%"
"05/23/1997","120.71","120.71","120.71","120.71","","0.62%"
"05/22/1997","119.97","119.97","119.97","119.97","","-0.59%"
"05/21/1997","120.68","120.68","120.68","120.68","","-0.54%"
"05/20/1997","121.34","121.34","121.34","121.34","","-0.34%"
"05/19/1997","121.75","121.75","121.75","121.75","","-0.08%"
"05/16/1997","121.85","121.85","121.85","121.85","","-0.24%"
"05/15/1997","122.14","122.14","122.14","122.14","","-0.07%"
"05/14/1997","122.23","122.23","122.23","122.23","","0.62%"
"05/13/1997","121.48","121.48","121.48","121.48","","-0.82%"
"05/12/1997","122.49","122.49","122.49","122.49","","0.43%"
"05/09/1997","121.96","121.96","121.96","121.96","","-0.04%"
"05/08/1997","122.01","122.01","122.01","122.01","","0.41%"
"05/07/1997","121.51","121.51","121.51","121.51","","-1.70%"
"05/06/1997","123.61","123.61","123.61","123.61","","0.96%"
"05/05/1997","122.44","122.44","122.44","122.44","","2.41%"
"05/02/1997","119.56","119.56","119.56","119.56","","1.81%"
"05/01/1997","117.43","117.43","117.43","117.43","","0.09%"
"04/30/1997","117.32","117.32","117.32","117.32","","0.09%"
"04/29/1997","117.22","117.22","117.22","117.22","","1.24%"
"04/28/1997","115.78","115.78","115.78","115.78","","1.53%"
"04/25/1997","114.04","114.04","114.04","114.04","","-0.17%"
"04/24/1997","114.23","114.23","114.23","114.23","","-1.00%"
"04/23/1997","115.38","115.38","115.38","115.38","","-0.15%"
"04/22/1997","115.55","115.55","115.55","115.55","","0.18%"
"04/21/1997","115.34","115.34","115.34","115.34","","-0.73%"
"04/18/1997","116.19","116.19","116.19","116.19","","0.61%"
"04/17/1997","115.49","115.49","115.49","115.49","","-0.65%"
"04/16/1997","116.24","116.24","116.24","116.24","","0.39%"
"04/15/1997","115.79","115.79","115.79","115.79","","0.23%"
"04/14/1997","115.53","115.53","115.53","115.53","","-0.37%"
"04/11/1997","115.96","115.96","115.96","115.96","","-1.80%"
"04/10/1997","118.09","118.09","118.09","118.09","","0.88%"
"04/09/1997","117.06","117.06","117.06","117.06","","0.03%"
"04/08/1997","117.03","117.03","117.03","117.03","","-0.34%"
"04/07/1997","117.43","117.43","117.43","117.43","","-0.18%"
"04/04/1997","117.64","117.64","117.64","117.64","","-0.54%"
"04/03/1997","118.28","118.28","118.28","118.28","","-0.57%"
"04/02/1997","118.96","118.96","118.96","118.96","","-0.49%"
"04/01/1997","119.54","119.54","119.54","119.54","","-0.10%"
"03/31/1997","119.66","119.66","119.66","119.66","","-0.18%"
"03/27/1997","119.88","119.88","119.88","119.88","","-1.69%"
"03/26/1997","121.94","121.94","121.94","121.94","","-0.73%"
"03/25/1997","122.84","122.84","122.84","122.84","","0.77%"
"03/24/1997","121.90","121.90","121.90","121.90","","0.51%"
"03/21/1997","121.28","121.28","121.28","121.28","","0.36%"
"03/20/1997","120.85","120.85","120.85","120.85","","-0.71%"
"03/19/1997","121.71","121.71","121.71","121.71","","0.08%"
"03/18/1997","121.61","121.61","121.61","121.61","","-0.87%"
"03/17/1997","122.68","122.68","122.68","122.68","","0.48%"
"03/14/1997","122.09","122.09","122.09","122.09","","0.71%"
"03/13/1997","121.23","121.23","121.23","121.23","","-1.04%"
"03/12/1997","122.51","122.51","122.51","122.51","","-0.32%"
"03/11/1997","122.90","122.90","122.90","122.90","","-0.53%"
"03/10/1997","123.55","123.55","123.55","123.55","","-0.01%"
"03/07/1997","123.56","123.56","123.56","123.56","","0.46%"
"03/06/1997","122.99","122.99","122.99","122.99","","-1.32%"
"03/05/1997","124.63","124.63","124.63","124.63","","0.12%"
"03/04/1997","124.48","124.48","124.48","124.48","","0.18%"
"03/03/1997","124.26","124.26","124.26","124.26","","0.06%"
"02/28/1997","124.18","124.18","124.18","124.18","","0.55%"
"02/27/1997","123.50","123.50","123.50","123.50","","-0.48%"
"02/26/1997","124.09","124.09","124.09","124.09","","-1.07%"
"02/25/1997","125.43","125.43","125.43","125.43","","-0.63%"
"02/24/1997","126.22","126.22","126.22","126.22","","0.73%"
"02/21/1997","125.31","125.31","125.31","125.31","","0.20%"
"02/20/1997","125.06","125.06","125.06","125.06","","-0.60%"
"02/19/1997","125.81","125.81","125.81","125.81","","-0.58%"
"02/18/1997","126.55","126.55","126.55","126.55","","0.17%"
"02/14/1997","126.33","126.33","126.33","126.33","","-0.35%"
"02/13/1997","126.78","126.78","126.78","126.78","","0.39%"
"02/12/1997","126.29","126.29","126.29","126.29","","0.74%"
"02/11/1997","125.36","125.36","125.36","125.36","","0.38%"
"02/10/1997","124.89","124.89","124.89","124.89","","0.03%"
"02/07/1997","124.85","124.85","124.85","124.85","","0.50%"
"02/06/1997","124.23","124.23","124.23","124.23","","-0.26%"
"02/05/1997","124.55","124.55","124.55","124.55","","-0.86%"
"02/04/1997","125.63","125.63","125.63","125.63","","0.03%"
"02/03/1997","125.59","125.59","125.59","125.59","","-0.14%"
"01/31/1997","125.77","125.77","125.77","125.77","","-0.38%"
"01/30/1997","126.25","126.25","126.25","126.25","","0.47%"
"01/29/1997","125.66","125.66","125.66","125.66","","-0.45%"
"01/28/1997","126.23","126.23","126.23","126.23","","-0.28%"
"01/27/1997","126.58","126.58","126.58","126.58","","-0.66%"
"01/24/1997","127.42","127.42","127.42","127.42","","-1.12%"
"01/23/1997","128.86","128.86","128.86","128.86","","-0.35%"
"01/22/1997","129.31","129.31","129.31","129.31","","0.47%"
"01/21/1997","128.71","128.71","128.71","128.71","","0.63%"
"01/20/1997","127.90","127.90","127.90","127.90","","-0.34%"
"01/17/1997","128.33","128.33","128.33","128.33","","0.53%"
