"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2015","305.56","304.74","306.75","304.19","","0.19%"
"03/25/2015","304.99","308.56","310.06","304.99","","-1.12%"
"03/24/2015","308.45","309.06","309.79","307.35","","-0.28%"
"03/23/2015","309.33","309.60","310.56","308.87","","-0.07%"
"03/20/2015","309.56","307.48","311.36","307.23","","0.68%"
"03/19/2015","307.46","312.67","312.67","307.24","","-1.74%"
"03/18/2015","312.92","307.57","314.61","305.03","","1.57%"
"03/17/2015","308.07","311.53","311.53","306.86","","-1.15%"
"03/16/2015","311.66","312.08","312.68","310.21","","-0.11%"
"03/13/2015","312.01","315.09","315.09","310.16","","-0.99%"
"03/12/2015","315.12","311.52","315.27","311.52","","1.26%"
"03/11/2015","311.20","311.39","312.68","310.80","","-0.07%"
"03/10/2015","311.41","316.39","316.39","311.20","","-1.58%"
"03/09/2015","316.42","316.07","317.40","315.82","","0.11%"
"03/06/2015","316.08","320.35","320.35","315.41","","-1.33%"
"03/05/2015","320.35","321.67","321.91","319.31","","-0.40%"
"03/04/2015","321.63","322.81","322.81","319.64","","-0.37%"
"03/03/2015","322.81","324.64","324.66","321.91","","-0.62%"
"03/02/2015","324.82","322.55","324.82","321.31","","0.69%"
"02/27/2015","322.61","323.16","324.31","322.60","","-0.23%"
"02/26/2015","323.36","325.66","326.04","322.46","","-0.72%"
"02/25/2015","325.72","326.61","327.33","325.15","","-0.27%"
"02/24/2015","326.60","325.27","326.98","324.82","","0.41%"
"02/23/2015","325.27","325.62","325.77","323.13","","-0.16%"
"02/20/2015","325.79","324.55","325.97","321.48","","0.38%"
"02/19/2015","324.56","323.70","325.34","321.52","","0.27%"
"02/18/2015","323.69","322.98","323.70","321.03","","0.22%"
"02/17/2015","322.97","322.60","324.04","320.58","","0.11%"
"02/13/2015","322.63","319.99","323.05","319.99","","0.85%"
"02/12/2015","319.92","314.45","320.70","314.45","","1.75%"
"02/11/2015","314.41","315.15","315.58","312.77","","-0.28%"
"02/10/2015","315.28","313.00","315.56","312.03","","0.74%"
"02/09/2015","312.97","313.09","314.68","312.34","","-0.08%"
"02/06/2015","313.21","314.09","314.60","312.55","","-0.31%"
"02/05/2015","314.18","306.82","314.32","306.82","","2.44%"
"02/04/2015","306.69","308.34","308.92","306.04","","-0.62%"
"02/03/2015","308.60","302.04","308.87","302.04","","2.17%"
"02/02/2015","302.04","299.30","302.79","297.76","","0.94%"
"01/30/2015","299.22","300.50","302.86","298.22","","-0.45%"
"01/29/2015","300.58","296.63","301.02","295.14","","1.35%"
"01/28/2015","296.59","302.10","302.50","296.21","","-1.80%"
"01/27/2015","302.02","304.23","304.23","298.74","","-0.75%"
"01/26/2015","304.29","302.77","304.40","301.49","","0.47%"
"01/23/2015","302.87","307.67","307.67","302.73","","-1.60%"
"01/22/2015","307.79","303.85","308.11","303.43","","1.30%"
"01/21/2015","303.83","300.85","304.08","299.53","","0.98%"
"01/20/2015","300.87","300.53","302.68","298.07","","0.11%"
"01/16/2015","300.55","295.67","300.74","295.26","","1.65%"
"01/15/2015","295.67","296.16","300.08","295.63","","-0.13%"
"01/14/2015","296.05","299.61","299.61","291.57","","-1.19%"
"01/13/2015","299.61","303.24","305.31","297.42","","-1.16%"
"01/12/2015","303.13","304.09","304.35","299.88","","-0.31%"
"01/09/2015","304.07","305.70","307.08","302.62","","-0.50%"
"01/08/2015","305.60","298.57","306.20","298.57","","2.37%"
"01/07/2015","298.52","295.65","299.15","295.65","","1.00%"
"01/06/2015","295.56","297.63","299.60","293.67","","-0.70%"
"01/05/2015","297.64","305.80","305.80","296.62","","-2.67%"
"01/02/2015","305.82","305.47","306.84","303.91","","0.18%"
"12/31/2014","305.28","309.01","309.01","305.23","","-1.00%"
"12/30/2014","308.37","308.45","309.50","308.28","","-0.20%"
"12/29/2014","308.98","309.34","310.12","308.63","","-0.22%"
"12/26/2014","309.65","309.12","310.64","309.12","","0.33%"
"12/24/2014","308.62","309.68","309.68","308.00","","-0.29%"
"12/23/2014","309.51","307.43","310.44","307.43","","0.79%"
"12/22/2014","307.07","307.22","307.77","305.54","","0.05%"
"12/19/2014","306.92","303.43","308.16","303.43","","1.15%"
"12/18/2014","303.42","296.81","303.43","296.81","","2.26%"
"12/17/2014","296.72","289.13","297.27","289.13","","2.77%"
"12/16/2014","288.72","290.13","295.73","288.54","","-0.68%"
"12/15/2014","290.71","292.76","294.39","289.73","","-0.54%"
"12/12/2014","292.30","300.68","300.68","292.30","","-2.92%"
"12/11/2014","301.08","301.34","304.21","300.42","","0.07%"
"12/10/2014","300.86","307.41","307.41","300.27","","-2.13%"
"12/09/2014","307.40","306.18","307.53","303.70","","0.25%"
"12/08/2014","306.62","311.30","311.30","306.15","","-1.62%"
"12/05/2014","311.67","312.08","313.69","311.09","","-0.11%"
"12/04/2014","312.01","310.39","312.59","310.00","","0.31%"
"12/03/2014","311.05","306.51","311.46","306.39","","1.44%"
"12/02/2014","306.63","304.74","307.33","304.29","","0.57%"
"12/01/2014","304.90","308.00","308.00","303.23","","-1.02%"
"11/28/2014","308.03","315.76","315.76","307.47","","-2.43%"
"11/26/2014","315.69","315.23","315.79","313.22","","0.14%"
"11/25/2014","315.25","316.45","317.48","315.17","","-0.36%"
"11/24/2014","316.40","318.10","318.10","316.03","","-0.49%"
"11/21/2014","317.97","314.19","320.07","314.18","","1.26%"
"11/20/2014","314.01","311.73","314.02","310.47","","0.49%"
"11/19/2014","312.49","312.59","313.44","311.43","","-0.12%"
"11/18/2014","312.85","309.42","313.24","309.42","","1.12%"
"11/17/2014","309.38","309.43","309.70","308.27","","-0.02%"
"11/14/2014","309.43","308.33","309.95","308.11","","0.32%"
"11/13/2014","308.45","308.81","310.82","306.77","","-0.04%"
"11/12/2014","308.58","307.53","309.14","307.19","","0.19%"
"11/11/2014","308.00","306.56","308.23","306.10","","0.46%"
"11/10/2014","306.58","305.76","306.68","305.02","","0.26%"
"11/07/2014","305.78","304.59","306.19","304.47","","0.51%"
"11/06/2014","304.24","301.88","304.75","301.00","","0.82%"
"11/05/2014","301.76","299.30","302.29","299.30","","0.95%"
"11/04/2014","298.92","301.75","301.95","297.76","","-1.04%"
"11/03/2014","302.05","304.65","305.53","301.18","","-0.77%"
"10/31/2014","304.39","299.24","304.44","299.24","","1.88%"
"10/30/2014","298.78","296.31","300.25","295.72","","0.73%"
"10/29/2014","296.60","300.19","300.73","294.71","","-1.26%"
"10/28/2014","300.37","297.98","300.38","297.98","","0.93%"
"10/27/2014","297.60","303.55","303.55","296.47","","-2.06%"
"10/24/2014","303.85","301.97","304.19","299.61","","0.64%"
"10/23/2014","301.91","302.41","303.86","300.91","","0.02%"
"10/22/2014","301.84","304.65","307.19","301.79","","-0.86%"
"10/21/2014","304.46","298.02","304.82","298.02","","2.22%"
"10/20/2014","297.84","293.66","298.10","293.66","","1.42%"
"10/17/2014","293.66","289.88","295.69","289.88","","1.36%"
"10/16/2014","289.73","286.62","291.25","283.80","","1.00%"
"10/15/2014","286.86","284.81","287.87","277.75","","0.66%"
"10/14/2014","284.99","284.58","289.04","283.25","","0.33%"
"10/13/2014","284.05","291.56","293.72","283.80","","-2.62%"
"10/10/2014","291.68","296.03","297.13","291.56","","-1.52%"
"10/09/2014","296.18","303.79","303.96","295.41","","-2.54%"
"10/08/2014","303.91","300.03","304.16","296.55","","1.31%"
"10/07/2014","299.99","304.97","304.97","299.95","","-1.75%"
"10/06/2014","305.32","305.99","306.90","304.39","","-0.07%"
"10/03/2014","305.54","304.78","306.92","304.78","","0.31%"
"10/02/2014","304.60","304.38","305.28","300.29","","-0.26%"
"10/01/2014","305.40","312.40","312.40","304.56","","-2.29%"
"09/30/2014","312.57","316.07","316.42","312.11","","-1.16%"
"09/29/2014","316.23","317.26","317.27","314.38","","-0.49%"
"09/26/2014","317.78","314.95","318.13","314.81","","0.88%"
"09/25/2014","315.02","319.28","319.28","315.02","","-1.46%"
"09/24/2014","319.68","316.85","320.12","316.40","","1.03%"
"09/23/2014","316.43","317.97","318.42","316.43","","-0.56%"
"09/22/2014","318.22","318.28","320.97","317.78","","-0.10%"
"09/19/2014","318.54","318.83","320.97","317.92","","-0.07%"
"09/18/2014","318.77","316.62","319.03","316.62","","0.71%"
"09/17/2014","316.53","315.14","318.13","315.14","","0.57%"
"09/16/2014","314.75","312.85","315.91","312.14","","0.52%"
"09/15/2014","313.13","312.54","313.88","311.66","","0.17%"
"09/12/2014","312.60","314.22","314.70","311.54","","-0.54%"
"09/11/2014","314.30","313.92","314.85","313.28","","-0.12%"
"09/10/2014","314.67","314.55","314.80","311.91","","0.01%"
"09/09/2014","314.64","316.92","316.98","314.02","","-0.82%"
"09/08/2014","317.23","318.51","318.97","316.75","","-0.44%"
"09/05/2014","318.62","316.82","318.62","316.14","","0.49%"
"09/04/2014","317.07","317.40","319.11","316.46","","-0.11%"
"09/03/2014","317.42","317.56","318.57","317.13","","0.18%"
"09/02/2014","316.86","318.19","318.19","316.27","","-0.39%"
"08/29/2014","318.09","318.07","318.45","317.26","","0.16%"
"08/28/2014","317.58","317.04","317.88","315.63","","0.05%"
"08/27/2014","317.43","317.58","318.07","316.70","","0.01%"
"08/26/2014","317.40","317.12","318.06","317.12","","0.11%"
"08/25/2014","317.04","316.54","317.32","316.50","","0.37%"
"08/22/2014","315.87","316.64","316.79","315.35","","-0.40%"
"08/21/2014","317.13","317.83","317.98","316.42","","-0.22%"
"08/20/2014","317.82","317.10","318.10","316.65","","0.14%"
"08/19/2014","317.37","316.43","317.73","316.39","","0.35%"
"08/18/2014","316.27","313.83","316.27","313.83","","0.97%"
"08/15/2014","313.24","312.68","314.53","310.86","","0.21%"
"08/14/2014","312.57","312.53","312.94","312.07","","0.08%"
"08/13/2014","312.32","311.02","312.72","310.57","","0.41%"
"08/12/2014","311.03","309.92","311.40","309.45","","0.26%"
"08/11/2014","310.22","310.73","312.36","310.03","","-0.07%"
"08/08/2014","310.44","307.51","310.54","306.91","","1.07%"
"08/07/2014","307.15","310.45","311.34","306.37","","-0.89%"
"08/06/2014","309.90","307.57","310.37","307.13","","0.69%"
"08/05/2014","307.79","309.94","310.33","306.96","","-0.95%"
"08/04/2014","310.75","307.80","311.19","306.60","","1.11%"
"08/01/2014","307.35","306.73","308.29","305.40","","0.05%"
"07/31/2014","307.19","312.47","312.47","307.17","","-1.92%"
"07/30/2014","313.20","315.08","316.30","312.68","","-0.49%"
"07/29/2014","314.75","317.24","317.69","314.75","","-0.74%"
"07/28/2014","317.11","316.41","317.83","315.22","","0.25%"
"07/25/2014","316.32","315.34","317.25","315.25","","0.22%"
"07/24/2014","315.62","316.37","316.67","315.02","","-0.17%"
"07/23/2014","316.17","314.93","316.85","314.10","","0.43%"
"07/22/2014","314.82","314.76","315.72","314.75","","0.16%"
"07/21/2014","314.32","314.45","314.84","313.18","","-0.29%"
"07/18/2014","315.22","313.30","315.71","313.17","","0.65%"
"07/17/2014","313.17","313.91","315.12","312.75","","-0.48%"
"07/16/2014","314.67","313.15","314.84","313.15","","0.72%"
"07/15/2014","312.43","313.47","315.23","311.68","","-0.27%"
"07/14/2014","313.27","313.51","314.34","312.99","","0.01%"
"07/11/2014","313.25","312.81","313.50","312.13","","0.11%"
"07/10/2014","312.92","314.02","314.18","311.31","","-0.45%"
"07/09/2014","314.33","313.56","314.65","313.47","","0.40%"
"07/08/2014","313.07","313.79","313.79","312.37","","-0.29%"
"07/07/2014","313.99","315.81","315.81","313.44","","-0.81%"
"07/03/2014","316.56","314.74","316.87","314.74","","0.67%"
"07/02/2014","314.45","313.86","315.19","313.65","","0.16%"
"07/01/2014","313.96","313.63","315.18","313.04","","0.17%"
"06/30/2014","313.44","312.07","313.72","311.10","","0.45%"
"06/27/2014","312.03","312.91","312.91","310.24","","-0.38%"
"06/26/2014","313.23","313.91","314.03","311.59","","-0.17%"
"06/25/2014","313.75","311.43","314.98","311.20","","0.79%"
"06/24/2014","311.29","314.02","314.98","311.29","","-0.89%"
"06/23/2014","314.08","313.61","314.94","312.79","","0.11%"
"06/20/2014","313.72","311.76","313.86","311.76","","0.64%"
"06/19/2014","311.74","312.32","312.87","311.18","","-0.21%"
"06/18/2014","312.41","308.93","312.54","308.77","","1.09%"
"06/17/2014","309.04","308.22","309.66","307.05","","0.16%"
"06/16/2014","308.55","308.90","309.01","307.01","","-0.16%"
"06/13/2014","309.03","307.99","309.41","307.30","","0.36%"
"06/12/2014","307.91","310.31","311.17","307.24","","-0.86%"
"06/11/2014","310.58","311.83","311.87","310.11","","-0.58%"
"06/10/2014","312.40","311.94","312.45","310.66","","0.12%"
"06/09/2014","312.03","312.81","313.19","311.47","","-0.26%"
"06/06/2014","312.84","311.35","312.96","311.35","","0.52%"
"06/05/2014","311.21","310.05","311.75","307.73","","0.41%"
"06/04/2014","309.95","309.08","310.77","307.85","","0.18%"
"06/03/2014","309.39","309.80","310.23","308.56","","-0.25%"
"06/02/2014","310.15","309.02","310.86","308.66","","0.39%"
"05/30/2014","308.93","308.64","309.00","307.51","","-0.03%"
"05/29/2014","309.03","306.14","309.14","305.09","","1.02%"
"05/28/2014","305.91","305.92","306.88","305.70","","0.04%"
"05/27/2014","305.78","306.24","307.02","305.38","","0.01%"
"05/23/2014","305.76","303.53","305.92","303.49","","0.85%"
"05/22/2014","303.17","302.39","304.14","302.13","","0.19%"
"05/21/2014","302.60","301.73","303.30","301.44","","0.48%"
"05/20/2014","301.16","302.67","303.42","300.52","","-0.56%"
"05/19/2014","302.85","301.22","304.32","301.16","","0.42%"
"05/16/2014","301.59","300.43","301.65","298.27","","0.40%"
"05/15/2014","300.38","304.40","304.40","298.73","","-1.47%"
"05/14/2014","304.87","304.88","306.33","304.17","","0.06%"
"05/13/2014","304.69","304.90","305.92","304.43","","-0.02%"
"05/12/2014","304.74","301.42","304.92","301.42","","1.29%"
"05/09/2014","300.87","300.90","301.18","299.06","","-0.01%"
"05/08/2014","300.90","301.91","303.83","299.68","","-0.44%"
"05/07/2014","302.24","300.00","302.33","298.89","","0.85%"
"05/06/2014","299.70","300.90","301.41","298.89","","-0.52%"
"05/05/2014","301.28","299.37","301.52","298.29","","0.46%"
"05/02/2014","299.90","298.49","301.34","298.48","","0.47%"
"05/01/2014","298.51","300.35","300.35","297.94","","-0.64%"
"04/30/2014","300.42","298.02","300.55","297.58","","0.80%"
"04/29/2014","298.05","296.34","298.78","296.17","","0.74%"
"04/28/2014","295.87","298.02","298.37","293.85","","-0.47%"
"04/25/2014","297.27","298.95","298.96","296.33","","-0.68%"
"04/24/2014","299.31","301.31","301.72","298.85","","-0.50%"
"04/23/2014","300.82","300.66","301.60","300.35","","0.05%"
"04/22/2014","300.68","299.81","301.77","299.29","","0.30%"
"04/21/2014","299.77","299.57","300.58","298.87","","0.09%"
"04/17/2014","299.50","298.55","300.07","298.47","","0.30%"
"04/16/2014","298.61","294.88","298.88","294.88","","1.49%"
"04/15/2014","294.23","292.90","294.47","289.62","","0.56%"
"04/14/2014","292.60","290.87","293.64","290.66","","0.75%"
"04/11/2014","290.42","293.35","293.87","290.34","","-1.18%"
"04/10/2014","293.90","299.91","300.01","293.43","","-2.02%"
"04/09/2014","299.95","295.71","300.62","295.71","","1.52%"
"04/08/2014","295.46","294.26","296.63","293.41","","0.39%"
"04/07/2014","294.32","298.41","298.81","293.26","","-1.43%"
"04/04/2014","298.58","302.86","304.95","297.94","","-1.30%"
"04/03/2014","302.52","302.57","304.48","301.40","","0.10%"
"04/02/2014","302.23","300.23","302.77","299.32","","0.63%"
"04/01/2014","300.33","298.90","300.34","298.24","","0.66%"
"03/31/2014","298.35","295.85","298.70","295.85","","1.06%"
"03/28/2014","295.22","293.77","296.58","293.38","","0.65%"
"03/27/2014","293.31","294.42","294.77","292.07","","-0.36%"
"03/26/2014","294.38","298.85","299.96","294.38","","-1.39%"
